@@,name,position
->,Pavithra Devi Wanniarachchi,Minister of Health->Minister of Transport
->,Keheliya Rambukwella,Minister of Mass Media->Minister of Health
->,Gamini Lokuge,Minister of Transport->Minister of Power
->,Dullas Alahapperuma,Minister of Power->Minister of Mass Media
->,Dinesh Gunawardena,Foreign Minister->Minister of Education
---,Prof. G.L.Peiris,Minister of Education
---,Mahinda Rajapaksa,Prime Minister of Sri Lanka
---,Gotabaya Rajapaksa,President of Sri Lanka
+++,Namal Rajapaksa,Minister of Development Co-ordination and Monitoring
+++,G.L.Peiris,Foreign Minister
